star_mag,impacted_area,total_area,band,fa_x,fa_y
-1.4999999999999987,3016142365.3515015,4006634500.0000024,r,0,0.013089969389957472
-1.4999999999999987,3321908677.219002,4006634500.0000024,r,0,0.008726646259971648
-1.1999999999999984,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.0999999999999983,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.3999999999999986,3348588856.354502,4006634500.0000024,g,0,0.026179938779914945
-1.6999999999999988,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.3999999999999986,2720564925.017501,4006634500.0000024,r,0,0.026179938779914945
-1.9999999999999991,1850343944.7900007,4006634500.0000024,y,0,0
-2.3999999999999995,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-1.6999999999999988,3430191981.2160015,4006634500.0000024,g,0,0
-1.3999999999999986,459945614.0620003,4006634500.0000024,z,0,0
-1.4999999999999987,2199357869.4505014,4006634500.0000024,i,0,0
-1.4999999999999987,2886387507.069001,4006634500.0000024,r,0,0
-1.2999999999999985,1979105157.7165012,4006634500.0000024,r,0,0.017453292519943295
-2.4999999999999996,3710900800.9205017,4006634500.0000024,u,0,0
-1.3999999999999986,3016142365.3515015,4006634500.0000024,r,0,0.013089969389957472
-1.4999999999999987,2880000931.6760015,4006634500.0000024,r,0,0.02181661564992912
-1.3999999999999986,3232917318.3395014,4006634500.0000024,r,0,0.008726646259971648
-1.0999999999999983,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-0.9999999999999982,366438778.1010002,4006634500.0000024,z,0,0.026179938779914945
-1.2999999999999985,3162468663.9260015,4006634500.0000024,g,0,0.026179938779914945
-1.2999999999999985,2697330451.5520015,4006634500.0000024,r,0,0.026179938779914945
-1.5999999999999988,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.1999999999999984,1943790681.233501,4006634500.0000024,r,0,0.017453292519943295
-1.2999999999999985,459945614.0620003,4006634500.0000024,z,0,0
-1.3999999999999986,1778456908.5910008,4006634500.0000024,i,0,0
-1.5999999999999988,3394204390.137002,4006634500.0000024,g,0,0
-1.3999999999999986,2886387507.069001,4006634500.0000024,r,0,0
-1.2999999999999985,3016142365.3515015,4006634500.0000024,r,0,0.013089969389957472
-0.8999999999999981,348416936.1200002,4006634500.0000024,z,0,0.026179938779914945
-0.9999999999999982,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.3999999999999986,2880000931.6760015,4006634500.0000024,r,0,0.02181661564992912
-1.2999999999999985,3124237357.5270014,4006634500.0000024,r,0,0.008726646259971648
-1.899999999999999,1850343944.7900007,4006634500.0000024,y,0,0
-1.1999999999999984,3162468663.9260015,4006634500.0000024,g,0,0.026179938779914945
-1.1999999999999984,2697330451.5520015,4006634500.0000024,r,0,0.026179938779914945
-1.0999999999999983,1870317017.7725008,4006634500.0000024,r,0,0.017453292519943295
-0.799999999999998,348416936.1200002,4006634500.0000024,z,0,0.026179938779914945
-1.1999999999999984,459945614.0620003,4006634500.0000024,z,0,0
-1.4999999999999987,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-0.8999999999999981,392057199.09400016,4006634500.0000024,i,0,0.026179938779914945
-1.2999999999999985,1778456908.5910008,4006634500.0000024,i,0,0
-1.2999999999999985,2886387507.069001,4006634500.0000024,r,0,0
-1.1999999999999984,2277334990.0895014,4006634500.0000024,r,0,0.013089969389957472
-2.2999999999999994,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-1.4999999999999987,3394204390.137002,4006634500.0000024,g,0,0
-1.1999999999999984,3124237357.5270014,4006634500.0000024,r,0,0.008726646259971648
-1.2999999999999985,2880000931.6760015,4006634500.0000024,r,0,0.02181661564992912
-1.0999999999999983,3150649092.1510015,4006634500.0000024,g,0,0.026179938779914945
-1.0999999999999983,2697330451.5520015,4006634500.0000024,r,0,0.026179938779914945
-0.699999999999998,348416936.1200002,4006634500.0000024,z,0,0.026179938779914945
-1.799999999999999,1850343944.7900007,4006634500.0000024,y,0,0
