visit,impacted_area,total_area,band
2025071700438,0.0,4006634500.0000014,r
2025071700474,0.0,4006634500.0000014,i
2025071700477,0.0,4006634500.0000014,i
2025071700590,0.0,4006634500.0000014,g
2025071700591,,4006634500.0000014,g
2025071700592,0.0,4006634500.0000014,g
2025071700593,0.0,4006634500.0000014,g
2025071700594,0.0,4006634500.0000014,g
2025072300561,4415311.219000002,4006634500.0000014,r
2025072300562,4303125.453000003,4006634500.0000014,r
2025072300563,75244595.91000004,4006634500.0000014,r
2025072300564,2179609.168000001,4006634500.0000014,r
2025072300565,77011521.72450003,4006634500.0000014,r
2025072300566,0.0,4006634500.0000014,r
2025072300567,2215668.878500001,4006634500.0000014,r
2025072300568,0.0,4006634500.0000014,r
2025072300569,2207655.609500001,4006634500.0000014,r
2025072300570,2119509.650500001,4006634500.0000014,r
2025072300571,0.0,4006634500.0000014,r
2025072300572,2179609.168000001,4006634500.0000014,r
2025072300573,2219675.513000001,4006634500.0000014,r
2025072300574,1522521.1100000008,4006634500.0000014,r
2025072300575,280901138.1605001,4006634500.0000014,r
2025072300576,0.0,4006634500.0000014,r
2025072300577,83602435.47700003,4006634500.0000014,r
2025072300578,15822199.640500003,4006634500.0000014,r
2025072300579,12484673.102000006,4006634500.0000014,u
2025072300580,351638270.2580002,4006634500.0000014,u
2025072300581,580180708.7725003,4006634500.0000014,u
2025072300582,24833120.63100001,4006634500.0000014,u
2025072300583,24861167.072500013,4006634500.0000014,u
2025072300584,8930788.300500004,4006634500.0000014,u
2025072300585,24332291.318500016,4006634500.0000014,u
2025072300586,8834629.072500005,4006634500.0000014,u
2025072300587,,4006634500.0000014,u
2025072300588,,4006634500.0000014,u
2025072300589,,4006634500.0000014,u
2025072800361,0.0,4006634500.0000014,z
2025072800362,0.0,4006634500.0000014,z
2025072100317,0.0,4006634500.0000014,i
2025072100318,0.0,4006634500.0000014,i
2025072100319,0.0,4006634500.0000014,i
2025072100320,0.0,4006634500.0000014,i
